# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Ni

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A1--Cu--fcc      A15--beta-W      A2--W--bcc       A3'--alpha-La    A3--Mg--hcp      A4--C--dc        A5--beta-Sn      A6--In--bct      A7--alpha-As     Ah--alpha-Po--sc
    4.5326633166    -0.1417685052    -0.0171568936    -0.0937066053    -0.1417685052    -0.1417685052    -0.0461852167    -0.0461852167    -0.0827559000    -0.0344825660    -0.0698286183
    4.5527638191    -0.1267503277    -0.0153555348    -0.0837434885    -0.1267503277    -0.1267503277    -0.0413034572    -0.0413034572    -0.0708965718    -0.0308487826    -0.0624170115
    4.5728643216    -0.1125567179    -0.0136564122    -0.0743564884    -0.1125567179    -0.1125567179    -0.0367041678    -0.0367041678    -0.0597549136    -0.0274236020    -0.0554368243
    4.5929648241    -0.0991625583    -0.0120536911    -0.0655169632    -0.0991625583    -0.0991625583    -0.0323711779    -0.0323711779    -0.0492945082    -0.0241950297    -0.0488644195
    4.6130653266    -0.0865386701    -0.0105418652    -0.0571965377    -0.0865386701    -0.0865386700    -0.0282891429    -0.0282891429    -0.0394789088    -0.0211517275    -0.0426770284
    4.6331658292    -0.0746531332    -0.0091157390    -0.0493673816    -0.0746531332    -0.0746531332    -0.0244435249    -0.0244435249    -0.0302721699    -0.0182829861    -0.0368528141
    4.6532663317    -0.0634723379    -0.0077704115    -0.0420024178    -0.0634723379    -0.0634723379    -0.0208205686    -0.0208205686    -0.0230761381    -0.0155786966    -0.0313709087
    4.6733668342    -0.0529618141    -0.0065012603    -0.0350754733    -0.0529618141    -0.0529618141    -0.0174072737    -0.0174072737    -0.0174072737    -0.0130293222    -0.0262114318
    4.6934673367    -0.0430868797    -0.0053039269    -0.0285613851    -0.0430868797    -0.0430868797    -0.0141913657    -0.0141913657    -0.0141913657    -0.0106258701    -0.0213554923
    4.7135678392    -0.0338131399    -0.0041743014    -0.0224360680    -0.0338131399    -0.0338131399    -0.0111612642    -0.0111612642    -0.0111612642    -0.0083598635    -0.0167851781
    4.7336683417    -0.0251068667    -0.0031085094    -0.0166765547    -0.0251068667    -0.0251068667    -0.0083060516    -0.0083060516    -0.0083060516    -0.0062233151    -0.0124835369
    4.7537688442    -0.0169352797    -0.0021028984    -0.0112610119    -0.0169352797    -0.0169352797    -0.0056154408    -0.0056154408    -0.0056154408    -0.0042086999    -0.0084345497
    4.7738693467    -0.0092667736    -0.0011540285    -0.0061687550    -0.0092667736    -0.0092667736    -0.0030797518    -0.0030797518    -0.0030797518    -0.0023089373    -0.0046231117
    4.7939698492    -0.0033224391    -0.0004147374    -0.0022137542    -0.0033224391    -0.0033224391    -0.0011062709    -0.0011062709    -0.0011062709    -0.0008295891    -0.0016598617
    4.8140703518     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000
    4.8341708543     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000
    4.8542713568     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000     0.0000000000
