E_coh_mean,E_coh_std,a_mean,a_std,b_mean,b_std,c_mean,c_std,composition,num_lammps,num_lammps_1_std,num_lammps_2_std,num_lammps_3_std,num_refine,num_refine_1_std,num_refine_2_std,num_refine_3_std,potential_id,prototype
0.043404916,0.043404916,6.951762123,0.058799463,6.798250808,0.124341958,6.794287069,0.108517133,Cd2S,5,0,0,5,5,0,0,5,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,C1--CaF2--fluorite
5.06E-06,5.06E-06,2.972614895,0.000791871,5.148720029,0.00137156,9.708519592,0.002586239,Ta,5,5,5,5,5,5,5,5,2003--Li-Y-H--Ta,A3'--alpha-La--double-hcp
2.75E-05,2.75E-05,5.315933736,0.002849917,5.315933736,0.002849917,5.315933736,0.002849917,MoXe,50,10,10,10,50,10,10,10,2013--Smirnova-D-E--U-Mo-Xe,B2--CsCl
0.057949825,0.057949825,7.13879186,0.2387917,7.238336851,0.039861212,7.251226437,0.092079803,S2TeZn,10,0,10,10,10,0,10,10,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,L2_1--AlCu2Mn--heusler
9.27E-06,9.27E-06,4.28212123,0.00152548,4.28212123,0.00152548,4.28212123,0.00152548,CuSMgS3,5,5,5,5,5,5,5,5,2012--Jelinek-B--Al-Si-Mg-Cu-Fe,L1_2--AuCu3
7.19E-06,7.19E-06,2.896404634,0.000877538,5.016719985,0.001519941,4.679369604,0.002917998,Ag,5,5,5,5,5,5,5,5,2009--Wu-H-H--Cu-Ag,A3--Mg--hcp
7.19E-06,7.19E-06,4.554702073,0.001007787,4.554702073,0.001007787,4.554702073,0.001007787,AlFe3,5,5,5,5,5,5,5,5,2005--Mendelev-M-I--Al-Fe,A15--Cr3Si
4.09E-06,4.09E-06,10.94650039,0.003787845,10.94650039,0.003787845,10.94650039,0.003787845,NbTi3,10,5,5,5,10,5,5,5,1996--Farkas-D--Nb-Ti-Al,A15--Cr3Si
1.19E-05,1.19E-05,3.253682388,0.000810081,3.253682388,0.000810081,3.253682388,0.000810081,AgPd,20,10,10,10,20,10,10,10,2013--Hale-L-M--Pd-Ag-H-Hybrid,B2--CsCl
2.53E-06,2.53E-06,5.37577994,0.000114015,9.311141209,0.000216377,8.778623207,0.000380749,Cs,5,5,5,5,5,0,0,0,2003--Han-S--Cs,A3--Mg--hcp
4.57E-06,4.57E-06,6.785950424,0.001108332,6.785950424,0.001108332,6.785950424,0.001108332,Hg2Se,5,5,5,5,5,5,5,5,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,C1--CaF2--fluorite
1.94E-05,1.94E-05,4.94936296,0.001349419,4.94936296,0.001349419,4.94936296,0.001349419,Pb,5,5,5,5,5,5,5,5,2004--Zhou-X-W--Pb,A1--Cu--fcc
4.48E-06,4.48E-06,4.665340447,0.000752949,4.665340447,0.000752949,4.665340447,0.000752949,Fe,5,5,5,5,5,5,5,5,2013--Bonny-G--Fe-Ni-Cr,A15--beta-W
