potential_LAMMPS_id,composition,Tmelt TI,alat,Tguess,Tmelt MD,Tmelt MD stderr,Notes
2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr1,Co,1893,,,1891.29357,1.262337089,
2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr1,Ni,1692,3.59,1640,1698.787154,1.362937734,
2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr2,Co,1897,,,1896.555154,1.490429223,
2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr2,Ni,1697,3.59,1645,1696.261622,1.834539985,
2015--Wilson-S-R--Na--LAMMPS--ipr1,Na,NA,,,NA,NA,
2015--Wilson-S-R--Ni-Zr--LAMMPS--ipr1,Ni,1724,3.6,1655,1727.365216,1.364272441,
2015--Wilson-S-R--Ni-Zr--LAMMPS--ipr1,Zr,1243,,,NA,NA,
2015--Wilson-S-R--fictional-Na-3--LAMMPS--ipr1,Na,NA,,,NA,NA,
2016--Beland-L-K--Ni-Co--LAMMPS--ipr1,Co,1895,,,1895.910896,1.392898836,
2016--Beland-L-K--Ni-Co--LAMMPS--ipr1,Ni,1693,3.59,1655,1696.735243,1.8159823,
2016--Borovikov-V--Cu-Zr--LAMMPS--ipr1,Cu,1347,3.68,1360,1351.37174,1.361761758,
2016--Borovikov-V--Cu-Zr--LAMMPS--ipr1,Zr,1273,,,NA,NA,
2016--Borovikov-V--fictional-Cu-31--LAMMPS--ipr1,Cu,1350,3.7,1350,1350.890117,1.187499644,
2016--Borovikov-V--fictional-Cu-32--LAMMPS--ipr1,Cu,1355,3.7,1340,1356.551959,0.787483734,
2016--Borovikov-V--fictional-Cu-33--LAMMPS--ipr1,Cu,1348,3.7,1340,1350.472926,1.116195753,
2016--Borovikov-V--fictional-Cu-34--LAMMPS--ipr1,Cu,1353,3.7,1335,1356.523711,1.266081548,
2016--Mendelev-M-I--Ti-1--LAMMPS--ipr1,Ti,NA,,,NA,NA,
2016--Mendelev-M-I--Ti-2--LAMMPS--ipr1,Ti,NA,,,NA,NA,
2016--Nichol-A--K--LAMMPS--ipr2,K,NA,,,NA,NA,
2016--Nichol-A--Li--LAMMPS--ipr2,Li,NA,,,NA,NA,
2016--Nichol-A--Na--LAMMPS--ipr2,Na,NA,,,NA,NA,
2016--Samolyuk-G-D--Ni-Pd--LAMMPS--ipr1,Ni,1713,3.59,1695,1714.032329,0.892806751,
2016--Samolyuk-G-D--Ni-Pd--LAMMPS--ipr1,Pd,1550,3.97,1520,1551.542959,0.524342243,
2016--Stoller-R-E--Ni--LAMMPS--ipr1,Ni,1702,3.59,1640,1703.040439,1.508688381,
2016--Wilson-S-R--Mg--LAMMPS--ipr1,Mg,901,,,NA,NA,
2016--Wilson-S-R--fictional-Mg--LAMMPS--ipr1,Mg,NA,,,677.8877906,1.773037574,
2016--Zhang-Y--Ni-Nb--LAMMPS--ipr1,Nb,NA,,,NA,NA,
2016--Zhang-Y--Ni-Nb--LAMMPS--ipr1,Ni,1946,3.61,1860,1944.656449,1.737010879,
2017--Beland-L-K--Fe-Ni-Cr--LAMMPS--ipr1,Cr,1895,,,1895.335427,1.452380185,
2017--Beland-L-K--Fe-Ni-Cr--LAMMPS--ipr1,Fe,1381,,,1377.916447,1.020522381,
2017--Beland-L-K--Fe-Ni-Cr--LAMMPS--ipr1,Ni,1530,3.57,1470,1529.724253,1.326654696,
2017--Bonny-G--W-Re--LAMMPS--ipr1,Re,higher T,,,4666.809323,3.162745218,
