potential_LAMMPS_id,composition,a,Epot (eV/atom)
2017--Purja-Pun-G-P--Au--LAMMPS--ipr1,Au,2.8705619093700703,-3.9236552444004493
2018--Chen-Y--W-Re--LAMMPS--ipr1,W,2.9004276170339978,-8.6180136765375
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Co,2.5015145422283434,-4.40864571550975
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cr,2.496343199659812,-4.1977471129272
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cu,2.548632650099566,-3.531430560314
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Fe,5.649751436570844,-0.015422046132738499
2018--Mendelev-M-I--Tb--LAMMPS--ipr1,Tb,3.624963272084053,-4.19089521477025
2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,Ag,2.9435115316385785,-2.9650540612504
2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,Ni,2.4858863710058205,-4.35337239017255
2018--Setyawan-W--W-Re--LAMMPS--ipr1,Re,2.761161134373196,-8.029861478141
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr1,Cr,2.591528254806716,-4.08369466203425
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr2,Cr,2.591528254806716,-4.08369466203425
2019--Chen-Y--W-Re--LAMMPS--ipr1,Re,2.7599910406130537,-8.0295409416155
2019--Fischer-F--Cu-Ni--LAMMPS--ipr1,Cu,2.556101514739824,-3.5321781774941496
2019--Fischer-F--Cu-Ni--LAMMPS--ipr1,Ni,2.481888491559576,-4.42786827123665
2019--Fischer-F--Cu-Ni--LAMMPS--ipr2,Cu,2.5561014825229265,-3.5321781780739
2019--Fischer-F--Cu-Ni--LAMMPS--ipr2,Ni,2.4818884946068813,-4.42786827123065
2019--Fischer-F--Cu-Ni--LAMMPS--ipr3,Cu,2.5561014824495882,-3.5321781780814505
2019--Fischer-F--Cu-Ni--LAMMPS--ipr3,Ni,2.4818884956233283,-4.42786827123875
2019--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Zr,3.220299384503293,-6.4692658936285
2019--Mendelev-M-I--Fe-Ni-Cr--LAMMPS--ipr1,Cr,2.654749512917874,-4.0351374919397
2019--Mendelev-M-I--Fe-Ni-Cr--LAMMPS--ipr1,Fe,2.496144196593757,-4.037152408009749
2019--Mendelev-M-I--Fe-Ni-Cr--LAMMPS--ipr1,Ni,2.493267969142183,-4.3355721047315505
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Al,2.8132639584932937,-3.3512961860704
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Cr,2.4959168529159435,-4.19759906102705
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Ni,2.4831481597186067,-4.429561463601551
2021--Chen-Y--W-Ta-He--LAMMPS--ipr1,He,2.9189846347170256,-0.007025779835498
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cr,2.495916853345018,-4.19759906102485
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cu,2.54863269173281,-3.5314305612488
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Ni,2.4831481597183664,-4.429561463600701
2021--Wen-M--Fe-H--LAMMPS--ipr1,Fe,2.6054525971061824,-3.8992036903603497
2021--Wen-M--Fe-H--LAMMPS--ipr1,H,1.7523178409485525,-2.2979760303966
2022--Mendelev-M-I--Ni-Al--LAMMPS--ipr1,Al,2.797992278184158,-3.53467591914145
2022--Mendelev-M-I--Ni-Al--LAMMPS--ipr1,Ni,2.4284964422371575,-4.46969424221225
2022--Mendelev-M-I--Ni-Nb--LAMMPS--ipr1,Nb,3.050223625234318,-7.155976401862
2022--Mendelev-M-I--Ni-Nb--LAMMPS--ipr1,Ni,2.476644025894771,-5.431521293914
2022--Sun-Y--Fe--LAMMPS--ipr1,Fe,2.4126700002627013,-3.9730712571184004
2022--Zhou-M--Zr--LAMMPS--ipr1,Zr,3.2224874640729686,-6.2538368459335
2023--Kumar-P--Fe-H--LAMMPS--ipr1,H,1.7527927356140454,-2.2988401133012997
